,Age,G,GS,MP,3PAr,FTr,AST%,STL%,BLK%,TOV%,USG%,WS/48,VORP,3P%,2P%,FTA,FT%,AST,STL,BLK,TOV,Popularity,C,PPG,Allstar
184,33,61,17,1162,0.005,0.306,3.9,0.7,3.4,16.9,11.5,0.006,-0.8,0,0.433,66,0.455,29,16,49,50,133,1,3.54,0
185,25,68,58,2133,0.117,0.366,15.6,1.7,1.3,9.8,23.5,0.073,0.2,0.33,0.462,313,0.824,177,68,34,108,606,0,15.51,0
186,21,50,2,625,0.068,0.571,3.2,1.4,0.7,13.3,17.3,0.002,-0.7,0.364,0.413,92,0.63,13,16,5,31,380,0,3.88,0
187,22,63,9,827,0.009,0.313,6.3,1.2,3.7,11,22.6,0.109,-0.2,0,0.486,105,0.533,31,19,42,47,209,0,6.03,0
188,26,79,79,2269,0.005,0.261,8.9,0.9,6.7,14.5,22.5,0.129,2.2,0.25,0.449,224,0.741,113,39,206,162,194,1,11.86,1
189,24,80,80,2323,0.003,0.36,6.6,1.1,1.7,14.4,19.9,0.142,1,0,0.563,268,0.679,88,48,51,145,745,1,12.72,0
190,23,6,0,32,0.263,0.105,29.8,4.9,0,0,28.3,-0.022,0,0.2,0.357,2,0.5,5,3,0,0,1913,0,2.33,0
191,30,61,49,1659,0.002,0.453,19,1.7,1.8,16.3,23.4,0.116,1.4,0,0.481,269,0.729,177,55,37,139,353,0,12.56,0
192,26,76,76,2620,0.405,0.245,23.4,1.6,0.7,10.7,18.8,0.177,3.4,0.368,0.494,213,0.817,355,81,26,116,1182,0,14.16,0
193,40,29,0,437,0.112,0.245,8.3,1.3,1.3,18.7,14,-0.014,-0.4,0.273,0.402,24,0.583,26,11,7,25,549,0,3.21,0
194,25,29,1,458,0.013,0.394,4.7,0.9,3,12.5,20.2,0.147,0,0,0.503,61,0.656,13,8,19,26,1281,0,6.69,0
195,32,60,60,1764,0.431,0.232,27.5,1.9,1.1,17.5,14.7,0.085,0.3,0.39,0.367,98,0.714,314,63,25,99,811,0,7.65,0
196,22,78,78,2926,0.192,0.188,36.5,2.2,0.9,17.3,26.6,0.055,1.9,0.368,0.446,242,0.752,625,123,32,292,498,0,17.73,0
197,23,9,0,142,0.333,0.167,16,1.1,3.3,14.9,19.6,-0.042,-0.2,0.25,0.375,8,0.75,15,3,6,9,248,0,4.67,0
198,22,9,0,32,0.182,0.182,9.1,0,2.4,29.6,23.4,-0.22,-0.1,0,0.333,2,1,2,0,1,5,558,0,0.89,0
199,26,74,74,2756,0.006,0.196,15.3,1.5,2.2,11.3,21.8,0.153,3.5,0.5,0.544,208,0.644,240,78,78,147,109,1,17.42,0
200,27,76,76,2722,0.007,0.887,6.6,1.6,4.9,16.6,22.2,0.134,2.3,0.167,0.581,721,0.492,108,84,186,225,426,1,17.05,1
201,32,11,4,207,0.208,0.156,3.2,2.5,1.1,10.8,20,0.009,-0.2,0.313,0.426,12,0.583,4,10,3,10,672,0,6.73,0
202,27,65,21,1191,0.006,0.397,4.3,0.7,2.1,13.5,16.3,0.109,-0.2,0,0.451,123,0.789,32,16,33,57,2257,0,5.77,0
203,23,80,80,2486,0.073,0.246,2.8,0.6,7.4,12.7,18.1,0.181,2.6,0.351,0.591,191,0.749,43,28,242,125,334,0,13.19,0
204,29,80,80,2779,0.327,0.307,22.4,2.5,1.5,17.1,18.8,0.097,3.7,0.317,0.515,270,0.574,433,139,52,206,202,0,12.98,0
